level,city,town,name,Life expectancy_2010-2015,Coronary heart disease_2020,Current asthma_2020,Diabetes_2020,High blood pressure_2019,Annual checkup_2020,Dental visit_2020,Health insurance_2020,Current smoking_2020,Sleep <7 hours_2020
neighborhoods,New Haven,NA,Edgewood,77.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,New Haven,NA,Fair Haven,78.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,New Haven,NA,Fair Haven Heights,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,New Haven,NA,Hill,75.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,New Haven,NA,Newhallville,71.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,New Haven,NA,Prospect Hill,82.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,New Haven,NA,Quinnipiac Meadows,81.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,New Haven,NA,West River,74.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,New Haven,NA,West Rock,78.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,New Haven,NA,Westville,82.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,New Haven,NA,Wooster Square,83.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Stamford,NA,Belltown,81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Stamford,NA,Cove-East Side,81.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Stamford,NA,Downtown,81.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Stamford,NA,Glenbrook,81.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Stamford,NA,Newfield,82.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Stamford,NA,North Stamford,86,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Stamford,NA,Palmers Hill,84.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Stamford,NA,Ridgeway,84.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Stamford,NA,Roxbury,85.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Stamford,NA,Shippan,84.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Stamford,NA,South End,78.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Stamford,NA,Springdale,81.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Stamford,NA,Turn Of River,83.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Stamford,NA,Waterside,82,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Stamford,NA,West Side,80,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Stamford,NA,Westover,84.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
state,NA,NA,Connecticut,80.3,0.06,0.1,0.09,0.3,0.76,0.7,0.1,0.15,0.34
puma,NA,NA,0900100,82,0.05,0.09,0.07,0.27,0.74,0.75,0.1,0.11,0.3
puma,NA,NA,0900101,82.9,0.05,0.08,0.06,0.26,0.75,0.8,0.07,0.08,0.28
puma,NA,NA,0900102,83.2,0.05,0.08,0.07,0.27,0.75,0.76,0.1,0.09,0.3
puma,NA,NA,0900103,83.2,0.05,0.09,0.07,0.27,0.74,0.73,0.11,0.1,0.31
puma,NA,NA,0900105,81.2,0.06,0.09,0.07,0.29,0.75,0.75,0.09,0.11,0.3
puma,NA,NA,0900300,80.2,0.06,0.11,0.09,0.29,0.78,0.73,0.08,0.15,0.34
puma,NA,NA,0900301,78.4,0.06,0.12,0.11,0.3,0.78,0.65,0.12,0.17,0.36
puma,NA,NA,0900303,82.1,0.06,0.11,0.09,0.29,0.8,0.76,0.07,0.11,0.32
puma,NA,NA,0900304,80,0.06,0.11,0.09,0.29,0.78,0.71,0.09,0.16,0.34
puma,NA,NA,0900305,77.3,0.06,0.12,0.11,0.3,0.77,0.62,0.15,0.19,0.36
puma,NA,NA,0900306,81.3,0.06,0.11,0.09,0.29,0.79,0.75,0.07,0.13,0.32
puma,NA,NA,0900900,81,0.06,0.1,0.09,0.3,0.76,0.76,0.07,0.14,0.33
puma,NA,NA,0900902,79.7,0.06,0.11,0.1,0.31,0.75,0.7,0.11,0.17,0.36
puma,NA,NA,0900903,79,0.06,0.11,0.09,0.31,0.77,0.72,0.09,0.15,0.35
puma,NA,NA,0900904,79.6,0.06,0.11,0.09,0.31,0.76,0.73,0.08,0.15,0.35
puma,NA,NA,0900906,81.3,0.06,0.1,0.09,0.32,0.77,0.76,0.07,0.14,0.33
puma,NA,NA,0901100,79.7,0.06,0.11,0.08,0.3,0.76,0.73,0.09,0.17,0.34
puma,NA,NA,0901101,80,0.06,0.11,0.08,0.3,0.77,0.72,0.09,0.15,0.34
regions,NA,NA,6 wealthiest Fairfield County,83.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Backus Hospital HSA,79.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Backus Hospital HSA other towns,80.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Capitol Region COG,79.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Charlotte Hungerford HSA,79.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Charlotte Hungerford HSA other towns,81.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Eastern Connecticut Health Network,79.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Eastern Connecticut Health Network other towns,81.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Eastern cities,78.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Fairfield County,81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Greater Bridgeport,79.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Greater Bridgeport COG,79.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Greater Danbury,82.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Greater Danbury other towns,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Greater Hartford,79.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Greater New Haven,79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Greater Norwalk,83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Greater Norwalk other towns,84.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Greater Waterbury,79.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Hartford County,79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Hartford Foundation,80.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Hartford Foundation other towns,80.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Hartford Hospital HSA,79.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Hartford Hospital HSA other towns,80.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Hartford Inner Ring,80,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Hartford Outer Ring,81.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Health Improvement Collaborative of Southeastern Connecticut area,80.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Health Improvement Collaborative of Southeastern Connecticut area other towns,80.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Hospital of Central Connecticut HSA,78.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Hospital of Central Connecticut HSA other towns,80,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Litchfield County,80.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Lower Connecticut River Valley COG,81,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Lower Naugatuck Valley,79.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,MidState Medical Center HSA,80.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,MidState Medical Center HSA other towns,81.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Middlesex County,80.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Natchaug Hospital HSA,80.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Natchaug Hospital HSA other towns,81.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Naugatuck Valley COG,79.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,New Haven County,79.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,New Haven Inner Ring,78.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,New Haven Outer Ring,81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,New London County,79.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,North Central DMHAS,79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Northeastern COG,79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Northwest Hills COG,80.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Other New Haven County cities,79.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Sharon Hospital HSA,79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,South Central COG,79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,South Central DMHAS,79.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Southeastern COG,79.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
regions,NA,NA,Southeastern DMHAS,79.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
