level,city,town,name,Life expectancy_2010-2015,Any disability_2021,Mobility disability_2021,Coronary heart disease_2021,Current asthma_2021,Diabetes_2021,High blood pressure_2021,Annual checkup_2021,Dental visit_2020,Health insurance_2021,Current smoking_2021,Sleep <7 hours_2020
tract,NA,NA,09011693300,80.2,0.24,0.11,0.06,0.1,0.09,0.31,0.79,0.77,0.05,0.13,0.32
tract,NA,NA,09011693400,76.4,0.3,0.15,0.08,0.11,0.12,0.35,0.79,0.7,0.07,0.16,0.34
tract,NA,NA,09011693500,80.9,0.22,0.1,0.06,0.1,0.09,0.3,0.8,0.8,0.04,0.11,0.31
tract,NA,NA,09011693600,78,0.23,0.1,0.06,0.11,0.09,0.3,0.78,0.76,0.05,0.13,0.33
tract,NA,NA,09011693700,81.7,0.23,0.1,0.06,0.1,0.09,0.3,0.79,0.78,0.05,0.12,0.32
tract,NA,NA,09011695201,84.7,0.26,0.11,0.06,0.11,0.1,0.3,0.78,0.72,0.07,0.16,0.34
tract,NA,NA,09011695202,78.7,0.23,0.1,0.05,0.11,0.09,0.28,0.77,0.74,0.06,0.16,0.35
tract,NA,NA,09011696100,79.3,0.29,0.13,0.06,0.12,0.1,0.31,0.77,0.68,0.08,0.18,0.36
tract,NA,NA,09011696200,81.7,0.23,0.1,0.05,0.11,0.09,0.28,0.77,0.75,0.06,0.14,0.33
tract,NA,NA,09011696300,79.9,0.26,0.11,0.06,0.11,0.1,0.31,0.79,0.75,0.06,0.14,0.32
tract,NA,NA,09011696400,77.2,0.34,0.15,0.06,0.13,0.12,0.32,0.76,0.59,0.13,0.23,0.39
tract,NA,NA,09011696500,77,0.27,0.12,0.06,0.12,0.1,0.3,0.77,0.69,0.08,0.17,0.35
tract,NA,NA,09011696600,80.3,0.26,0.11,0.06,0.11,0.1,0.29,0.77,0.7,0.08,0.16,0.35
tract,NA,NA,09011696700,76,0.3,0.13,0.06,0.12,0.12,0.3,0.76,0.63,0.1,0.19,0.38
tract,NA,NA,09011696800,75.6,0.29,0.11,0.04,0.12,0.1,0.27,0.74,0.61,0.13,0.21,0.39
tract,NA,NA,09011697000,71.4,0.34,0.16,0.07,0.12,0.13,0.32,0.76,0.6,0.12,0.21,0.38
tract,NA,NA,09011700100,79,0.26,0.12,0.06,0.11,0.1,0.32,0.78,0.73,0.06,0.16,0.34
tract,NA,NA,09011701100,80.6,0.21,0.08,0.05,0.11,0.08,0.26,0.77,0.77,0.05,0.13,0.33
tract,NA,NA,09011701200,83.2,0.22,0.1,0.05,0.11,0.09,0.28,0.78,0.76,0.05,0.13,0.33
tract,NA,NA,09011702100,81.9,0.22,0.1,0.05,0.11,0.09,0.28,0.78,0.75,0.05,0.14,0.33
tract,NA,NA,09011702300,77.7,0.23,0.09,0.04,0.11,0.07,0.24,0.75,0.73,0.07,0.13,0.34
tract,NA,NA,09011702400,78.5,0.22,0.08,0.04,0.11,0.08,0.25,0.75,0.73,0.06,0.14,0.35
tract,NA,NA,09011702500,75.9,0.3,0.12,0.05,0.12,0.1,0.27,0.75,0.62,0.12,0.2,0.38
tract,NA,NA,09011702600,83,0.19,0.06,0.04,0.09,0.05,0.19,0.72,0.79,0.06,0.09,0.3
tract,NA,NA,09011702700,77.2,0.26,0.11,0.06,0.11,0.09,0.28,0.77,0.72,0.07,0.13,0.33
tract,NA,NA,09011702800,77.5,0.27,0.12,0.06,0.12,0.11,0.3,0.77,0.68,0.09,0.17,0.36
tract,NA,NA,09011703000,81.7,0.21,0.09,0.06,0.1,0.09,0.31,0.8,0.81,0.04,0.1,0.29
tract,NA,NA,09011705101,85.1,0.21,0.09,0.05,0.1,0.08,0.28,0.78,0.78,0.05,0.13,0.32
tract,NA,NA,09011705102,84.5,0.27,0.12,0.06,0.12,0.1,0.31,0.78,0.71,0.06,0.16,0.34
tract,NA,NA,09011705200,85.7,0.23,0.11,0.06,0.1,0.1,0.33,0.81,0.79,0.04,0.11,0.3
tract,NA,NA,09011705300,86.8,0.26,0.12,0.07,0.1,0.1,0.35,0.82,0.79,0.04,0.1,0.29
tract,NA,NA,09011705400,75.7,0.22,0.1,0.06,0.1,0.09,0.3,0.79,0.78,0.04,0.13,0.32
tract,NA,NA,09011707100,79.9,0.24,0.1,0.06,0.11,0.1,0.3,0.78,0.75,0.05,0.15,0.33
tract,NA,NA,09011708100,84.4,0.24,0.1,0.05,0.11,0.09,0.29,0.77,0.73,0.06,0.17,0.35
tract,NA,NA,09011709100,80.1,0.24,0.1,0.05,0.11,0.09,0.28,0.76,0.73,0.06,0.17,0.35
tract,NA,NA,09011709200,75.4,0.28,0.12,0.06,0.12,0.1,0.28,0.75,0.66,0.08,0.2,0.36
tract,NA,NA,09011710100,81.2,0.23,0.1,0.05,0.11,0.09,0.28,0.77,0.76,0.05,0.14,0.33
tract,NA,NA,09011711100,80.3,0.25,0.1,0.05,0.12,0.09,0.28,0.76,0.71,0.07,0.17,0.35
tract,NA,NA,09011712100,78.8,0.24,0.1,0.05,0.11,0.09,0.3,0.77,0.75,0.05,0.15,0.33
tract,NA,NA,09011713100,77.9,0.24,0.1,0.06,0.11,0.09,0.29,0.77,0.75,0.06,0.15,0.34
tract,NA,NA,09011714101,77.8,0.26,0.12,0.06,0.11,0.1,0.3,0.78,0.74,0.06,0.15,0.33
tract,NA,NA,09011714103,78.4,0.2,0.08,0.04,0.11,0.07,0.25,0.76,0.77,0.05,0.14,0.33
tract,NA,NA,09011714104,80,0.22,0.09,0.05,0.11,0.08,0.27,0.77,0.77,0.05,0.14,0.33
tract,NA,NA,09011715100,83.7,0.19,0.07,0.04,0.1,0.07,0.26,0.77,0.79,0.04,0.12,0.32
tract,NA,NA,09011716101,81.1,0.24,0.1,0.04,0.12,0.08,0.26,0.76,0.71,0.08,0.15,0.36
tract,NA,NA,09011716102,81.4,0.2,0.09,0.05,0.1,0.09,0.28,0.79,0.78,0.04,0.12,0.32
tract,NA,NA,09011870100,79.8,0.23,0.1,0.05,0.11,0.09,0.28,0.77,0.75,0.05,0.15,0.34
tract,NA,NA,09011870200,82,0.26,0.08,0.03,0.12,0.06,0.2,0.71,0.64,0.1,0.19,0.38
tract,NA,NA,09011870300,83.3,0.33,0.09,0.03,0.14,0.08,0.2,0.72,0.59,0.13,0.17,0.37
tract,NA,NA,09011870501,79,0.26,0.12,0.06,0.11,0.11,0.3,0.78,0.7,0.07,0.16,0.35
tract,NA,NA,09011870502,85,0.26,0.09,0.04,0.1,0.08,0.26,0.72,0.64,0.13,0.19,0.38
tract,NA,NA,09011870701,82.2,0.23,0.1,0.06,0.1,0.1,0.32,0.8,0.79,0.04,0.11,0.3
tract,NA,NA,09011870703,78.8,0.22,0.1,0.06,0.1,0.09,0.31,0.8,0.8,0.04,0.11,0.31
tract,NA,NA,09011870704,80.6,0.23,0.1,0.06,0.1,0.09,0.31,0.8,0.79,0.04,0.11,0.3
tract,NA,NA,09013526101,86.1,0.19,0.08,0.04,0.1,0.07,0.27,0.77,0.77,0.04,0.12,0.32
tract,NA,NA,09013526102,82.7,0.2,0.09,0.05,0.11,0.08,0.29,0.78,0.76,0.04,0.12,0.32
tract,NA,NA,09013528100,85.2,0.21,0.09,0.05,0.11,0.08,0.29,0.78,0.75,0.05,0.14,0.33
tract,NA,NA,09013529100,80.9,0.22,0.1,0.05,0.11,0.09,0.31,0.78,0.74,0.05,0.13,0.32
tract,NA,NA,09013530100,75.9,0.26,0.11,0.06,0.11,0.09,0.3,0.78,0.71,0.06,0.14,0.33
